tag,git_commit,scenario,seed,split,rounds,wall_seconds,agent_slot,agent_code,agent_name,round_steps,alive_steps,survived,suicide,score,coins,kills,suicides,crates,bombs,moves,invalid,steps,time,think_time_mean,rank,win
sarsa_s4_proto_3rule,af6b511,classic,49594,val,1,4.52,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,1.0,1.0,0.0,0.0,39.0,19.0,344.0,1.0,400.0,1.3740770816802979,0.0034351927042007447,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,49594,val,1,4.52,1,rule_based_agent,rule_based_agent_0,400,400,1,0,4.0,4.0,0.0,0.0,22.0,22.0,368.0,10.0,400.0,0.698162317276001,0.0017454057931900024,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,49594,val,1,4.52,2,rule_based_agent,rule_based_agent_1,400,153,0,1,4.0,4.0,0.0,1.0,32.0,14.0,135.0,4.0,153.0,0.23167204856872559,0.0015141963958740234,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,49594,val,1,4.52,3,rule_based_agent,rule_based_agent_2,400,400,1,0,0.0,0.0,0.0,0.0,34.0,26.0,369.0,5.0,400.0,0.7096912860870361,0.0017742282152175904,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,124020,val,1,3.27,0,tabular_sarsa_agent,tabular_sarsa_agent,400,131,0,1,1.0,1.0,0.0,1.0,38.0,15.0,83.0,3.0,131.0,0.2995750904083252,0.002286832751208589,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,124020,val,1,3.27,1,rule_based_agent,rule_based_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,36.0,34.0,353.0,13.0,400.0,0.7639269828796387,0.0019098174571990966,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,124020,val,1,3.27,2,rule_based_agent,rule_based_agent_1,400,48,0,1,1.0,1.0,0.0,1.0,19.0,6.0,40.0,2.0,48.0,0.07445502281188965,0.0015511463085810344,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,124020,val,1,3.27,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,19.0,31.0,354.0,15.0,400.0,0.7516124248504639,0.0018790310621261597,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,484337,val,1,5.55,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,2.0,2.0,0.0,0.0,23.0,17.0,351.0,0.0,400.0,1.7878026962280273,0.004469506740570069,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,484337,val,1,5.55,1,rule_based_agent,rule_based_agent_0,400,400,1,0,1.0,1.0,0.0,0.0,37.0,29.0,353.0,18.0,400.0,0.8611338138580322,0.0021528345346450805,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,484337,val,1,5.55,2,rule_based_agent,rule_based_agent_1,400,221,0,0,1.0,1.0,0.0,0.0,30.0,18.0,196.0,7.0,221.0,0.39091014862060547,0.001768824201903192,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,484337,val,1,5.55,3,rule_based_agent,rule_based_agent_2,400,400,1,0,10.0,5.0,1.0,0.0,30.0,25.0,366.0,9.0,400.0,0.8212482929229736,0.002053120732307434,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,208256,val,1,2.03,0,tabular_sarsa_agent,tabular_sarsa_agent,223,85,0,1,1.0,1.0,0.0,1.0,25.0,11.0,47.0,0.0,85.0,0.15343165397644043,0.0018050782820757698,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,208256,val,1,2.03,1,rule_based_agent,rule_based_agent_0,223,149,0,1,2.0,2.0,0.0,1.0,25.0,16.0,128.0,5.0,149.0,0.23412299156188965,0.0015712952453818098,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,208256,val,1,2.03,2,rule_based_agent,rule_based_agent_1,223,223,1,0,3.0,3.0,0.0,0.0,34.0,18.0,194.0,7.0,223.0,0.41730380058288574,0.001871317491403075,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,208256,val,1,2.03,3,rule_based_agent,rule_based_agent_2,223,155,0,1,3.0,3.0,0.0,1.0,34.0,15.0,136.0,4.0,155.0,0.25229763984680176,0.0016277267086890436,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,277916,val,1,3.4,0,tabular_sarsa_agent,tabular_sarsa_agent,400,140,0,1,3.0,3.0,0.0,1.0,35.0,16.0,93.0,0.0,140.0,0.361452579498291,0.0025818041392735073,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,277916,val,1,3.4,1,rule_based_agent,rule_based_agent_0,400,198,0,0,1.0,1.0,0.0,0.0,30.0,20.0,174.0,4.0,198.0,0.3144817352294922,0.0015882915920681423,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,277916,val,1,3.4,2,rule_based_agent,rule_based_agent_1,400,400,1,0,7.0,2.0,1.0,0.0,27.0,40.0,346.0,14.0,400.0,0.6340532302856445,0.0015851330757141113,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,277916,val,1,3.4,3,rule_based_agent,rule_based_agent_2,400,400,1,0,3.0,3.0,0.0,0.0,26.0,39.0,341.0,20.0,400.0,0.6544818878173828,0.001636204719543457,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,790804,val,1,4.47,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,1.0,1.0,0.0,0.0,38.0,22.0,339.0,0.0,400.0,1.4007480144500732,0.003501870036125183,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,790804,val,1,4.47,1,rule_based_agent,rule_based_agent_0,400,58,0,1,2.0,2.0,0.0,1.0,12.0,5.0,49.0,4.0,58.0,0.0726165771484375,0.0012520099508351293,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,790804,val,1,4.47,2,rule_based_agent,rule_based_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,33.0,27.0,352.0,21.0,400.0,0.779362678527832,0.00194840669631958,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,790804,val,1,4.47,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,31.0,26.0,367.0,7.0,400.0,0.7387948036193848,0.0018469870090484619,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,804280,val,1,4.42,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,3.0,3.0,0.0,0.0,52.0,27.0,326.0,0.0,400.0,1.253319501876831,0.0031332987546920776,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,804280,val,1,4.42,1,rule_based_agent,rule_based_agent_0,400,400,1,0,0.0,0.0,0.0,0.0,26.0,31.0,364.0,5.0,400.0,0.7610716819763184,0.0019026792049407959,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,804280,val,1,4.42,2,rule_based_agent,rule_based_agent_1,400,90,0,1,1.0,1.0,0.0,1.0,22.0,9.0,79.0,2.0,90.0,0.1292133331298828,0.0014357037014431423,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,804280,val,1,4.42,3,rule_based_agent,rule_based_agent_2,400,400,1,0,5.0,5.0,0.0,0.0,23.0,31.0,365.0,4.0,400.0,0.7220189571380615,0.0018050473928451537,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,545879,val,1,3.68,0,tabular_sarsa_agent,tabular_sarsa_agent,400,88,0,1,1.0,1.0,0.0,1.0,31.0,11.0,49.0,0.0,88.0,0.17961597442626953,0.0020410906184803357,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,545879,val,1,3.68,1,rule_based_agent,rule_based_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,33.0,34.0,354.0,12.0,400.0,0.6405782699584961,0.0016014456748962402,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,545879,val,1,3.68,2,rule_based_agent,rule_based_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,35.0,32.0,354.0,14.0,400.0,0.6511929035186768,0.0016279822587966918,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,545879,val,1,3.68,3,rule_based_agent,rule_based_agent_2,400,400,1,0,1.0,1.0,0.0,0.0,28.0,33.0,355.0,12.0,400.0,0.6630077362060547,0.0016575193405151368,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,406102,val,1,3.79,0,tabular_sarsa_agent,tabular_sarsa_agent,400,161,0,1,2.0,2.0,0.0,1.0,44.0,18.0,108.0,1.0,161.0,0.3714768886566162,0.002307309867432399,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,406102,val,1,3.79,1,rule_based_agent,rule_based_agent_0,400,400,1,0,8.0,3.0,1.0,0.0,21.0,26.0,360.0,14.0,400.0,0.7702231407165527,0.0019255578517913818,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,406102,val,1,3.79,2,rule_based_agent,rule_based_agent_1,400,231,0,1,0.0,0.0,0.0,1.0,29.0,21.0,207.0,3.0,231.0,0.38521432876586914,0.0016675944968219444,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,406102,val,1,3.79,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,35.0,29.0,359.0,12.0,400.0,0.7433974742889404,0.001858493685722351,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,636789,val,1,1.9,0,tabular_sarsa_agent,tabular_sarsa_agent,207,139,0,0,9.0,4.0,1.0,0.0,40.0,17.0,88.0,0.0,139.0,0.3448958396911621,0.0024812650337493677,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,636789,val,1,1.9,1,rule_based_agent,rule_based_agent_0,207,207,1,0,6.0,1.0,1.0,0.0,33.0,17.0,180.0,6.0,207.0,0.3845047950744629,0.0018575110873162459,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,636789,val,1,1.9,2,rule_based_agent,rule_based_agent_1,207,84,0,0,2.0,2.0,0.0,0.0,25.0,8.0,73.0,3.0,84.0,0.11742806434631348,0.0013979531469799223,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,636789,val,1,1.9,3,rule_based_agent,rule_based_agent_2,207,103,0,1,2.0,2.0,0.0,1.0,22.0,10.0,85.0,8.0,103.0,0.13844060897827148,0.0013440835823133154,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,624167,val,1,1.87,0,tabular_sarsa_agent,tabular_sarsa_agent,242,78,0,0,0.0,0.0,0.0,0.0,14.0,8.0,46.0,0.0,78.0,0.1526322364807129,0.001956823544624524,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,624167,val,1,1.87,1,rule_based_agent,rule_based_agent_0,242,242,1,0,9.0,4.0,1.0,0.0,45.0,20.0,216.0,2.0,242.0,0.45513439178466797,0.0018807206272093717,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,624167,val,1,1.87,2,rule_based_agent,rule_based_agent_1,242,55,0,1,0.0,0.0,0.0,1.0,17.0,6.0,47.0,2.0,55.0,0.0832052230834961,0.001512822237881747,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,624167,val,1,1.87,3,rule_based_agent,rule_based_agent_2,242,145,0,1,5.0,5.0,0.0,1.0,48.0,15.0,127.0,3.0,145.0,0.19577598571777344,0.0013501792118467133,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,762722,val,1,2.25,0,tabular_sarsa_agent,tabular_sarsa_agent,306,54,0,0,1.0,1.0,0.0,0.0,20.0,7.0,34.0,1.0,54.0,0.07818317413330078,0.0014478365580240886,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,762722,val,1,2.25,1,rule_based_agent,rule_based_agent_0,306,306,1,0,4.0,4.0,0.0,0.0,45.0,30.0,266.0,6.0,306.0,0.5421309471130371,0.0017716697618073108,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,762722,val,1,2.25,2,rule_based_agent,rule_based_agent_1,306,238,0,1,8.0,3.0,1.0,1.0,31.0,19.0,207.0,12.0,238.0,0.42032790184020996,0.0017660836211773527,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,762722,val,1,2.25,3,rule_based_agent,rule_based_agent_2,306,72,0,1,1.0,1.0,0.0,1.0,26.0,8.0,62.0,2.0,72.0,0.10160708427429199,0.001411209503809611,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,839781,val,1,3.83,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,2.0,2.0,0.0,0.0,36.0,42.0,283.0,9.0,400.0,1.0233588218688965,0.002558397054672241,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,839781,val,1,3.83,1,rule_based_agent,rule_based_agent_0,400,163,0,1,2.0,2.0,0.0,1.0,30.0,15.0,139.0,9.0,163.0,0.27397871017456055,0.0016808509826660156,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,839781,val,1,3.83,2,rule_based_agent,rule_based_agent_1,400,400,1,0,4.0,4.0,0.0,0.0,34.0,33.0,346.0,11.0,400.0,0.7149159908294678,0.0017872899770736694,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,839781,val,1,3.83,3,rule_based_agent,rule_based_agent_2,400,159,0,1,1.0,1.0,0.0,1.0,28.0,18.0,139.0,2.0,159.0,0.2628512382507324,0.0016531524418285058,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,186192,val,1,3.22,0,tabular_sarsa_agent,tabular_sarsa_agent,400,86,0,1,2.0,2.0,0.0,1.0,36.0,12.0,52.0,2.0,86.0,0.18659734725952148,0.0021697365960409473,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,186192,val,1,3.22,1,rule_based_agent,rule_based_agent_0,400,400,1,0,7.0,2.0,1.0,0.0,26.0,34.0,355.0,11.0,400.0,0.7151055335998535,0.0017877638339996338,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,186192,val,1,3.22,2,rule_based_agent,rule_based_agent_1,400,142,0,0,2.0,2.0,0.0,0.0,26.0,15.0,121.0,6.0,142.0,0.22688794136047363,0.0015978024039469973,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,186192,val,1,3.22,3,rule_based_agent,rule_based_agent_2,400,400,1,0,2.0,2.0,0.0,0.0,22.0,37.0,354.0,9.0,400.0,0.6720149517059326,0.0016800373792648315,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,318385,val,1,4.75,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,0.0,0.0,0.0,0.0,47.0,26.0,316.0,1.0,400.0,1.4420301914215088,0.003605075478553772,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,318385,val,1,4.75,1,rule_based_agent,rule_based_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,33.0,27.0,362.0,11.0,400.0,0.8096587657928467,0.002024146914482117,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,318385,val,1,4.75,2,rule_based_agent,rule_based_agent_1,400,45,0,1,0.0,0.0,0.0,1.0,12.0,5.0,35.0,5.0,45.0,0.06768798828125,0.0015041775173611112,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,318385,val,1,4.75,3,rule_based_agent,rule_based_agent_2,400,400,1,0,6.0,6.0,0.0,0.0,31.0,27.0,361.0,12.0,400.0,0.8239059448242188,0.002059764862060547,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,400072,val,1,5.19,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,1.0,1.0,0.0,0.0,37.0,17.0,357.0,0.0,400.0,1.4626233577728271,0.003656558394432068,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,400072,val,1,5.19,1,rule_based_agent,rule_based_agent_0,400,400,1,0,4.0,4.0,0.0,0.0,28.0,14.0,377.0,9.0,400.0,0.9750981330871582,0.0024377453327178956,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,400072,val,1,5.19,2,rule_based_agent,rule_based_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,38.0,15.0,382.0,3.0,400.0,0.944394588470459,0.0023609864711761474,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,400072,val,1,5.19,3,rule_based_agent,rule_based_agent_2,400,95,0,1,2.0,2.0,0.0,1.0,18.0,8.0,83.0,4.0,95.0,0.15610504150390625,0.0016432109631990132,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,282475,val,1,4.15,0,tabular_sarsa_agent,tabular_sarsa_agent,400,96,0,1,1.0,1.0,0.0,1.0,31.0,13.0,57.0,1.0,96.0,0.23589634895324707,0.002457253634929657,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,282475,val,1,4.15,1,rule_based_agent,rule_based_agent_0,400,400,1,0,7.0,2.0,1.0,0.0,30.0,26.0,363.0,11.0,400.0,0.8781936168670654,0.0021954840421676636,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,282475,val,1,4.15,2,rule_based_agent,rule_based_agent_1,400,268,0,0,2.0,2.0,0.0,0.0,33.0,24.0,223.0,16.0,268.0,0.5698118209838867,0.0021261635111339055,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,282475,val,1,4.15,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,31.0,28.0,362.0,10.0,400.0,0.8465759754180908,0.002116439938545227,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,650547,val,1,5.81,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,0.0,0.0,0.0,0.0,33.0,21.0,338.0,2.0,400.0,1.5600414276123047,0.0039001035690307616,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,650547,val,1,5.81,1,rule_based_agent,rule_based_agent_0,400,270,0,1,2.0,2.0,0.0,1.0,25.0,24.0,229.0,17.0,270.0,0.5849118232727051,0.002166340086195204,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,650547,val,1,5.81,2,rule_based_agent,rule_based_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,37.0,30.0,359.0,11.0,400.0,0.8596382141113281,0.00214909553527832,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,650547,val,1,5.81,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,17.0,24.0,360.0,16.0,400.0,0.9061465263366699,0.002265366315841675,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,35508,val,1,4.1,0,tabular_sarsa_agent,tabular_sarsa_agent,400,278,0,1,1.0,1.0,0.0,1.0,49.0,29.0,177.0,2.0,278.0,0.7654719352722168,0.0027534961700439453,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,35508,val,1,4.1,1,rule_based_agent,rule_based_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,26.0,26.0,366.0,8.0,400.0,0.8371639251708984,0.002092909812927246,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,35508,val,1,4.1,2,rule_based_agent,rule_based_agent_1,400,400,1,0,5.0,5.0,0.0,0.0,23.0,27.0,363.0,10.0,400.0,0.8061497211456299,0.002015374302864075,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,35508,val,1,4.1,3,rule_based_agent,rule_based_agent_2,400,54,0,1,0.0,0.0,0.0,1.0,18.0,6.0,45.0,3.0,54.0,0.07951807975769043,0.0014725570325498229,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,228967,val,1,4.05,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,3.0,3.0,0.0,0.0,35.0,25.0,337.0,3.0,400.0,1.354886531829834,0.003387216329574585,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,228967,val,1,4.05,1,rule_based_agent,rule_based_agent_0,400,113,0,1,1.0,1.0,0.0,1.0,33.0,12.0,97.0,4.0,113.0,0.23279476165771484,0.0020601306341390692,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,228967,val,1,4.05,2,rule_based_agent,rule_based_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,38.0,18.0,378.0,4.0,400.0,0.8080754280090332,0.002020188570022583,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,228967,val,1,4.05,3,rule_based_agent,rule_based_agent_2,400,79,0,1,2.0,2.0,0.0,1.0,13.0,7.0,71.0,1.0,79.0,0.1302931308746338,0.0016492801376535922,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,478560,val,1,2.36,0,tabular_sarsa_agent,tabular_sarsa_agent,230,103,0,1,2.0,2.0,0.0,1.0,30.0,14.0,61.0,1.0,103.0,0.24449944496154785,0.002373781019044154,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,478560,val,1,2.36,1,rule_based_agent,rule_based_agent_0,230,204,0,1,6.0,1.0,1.0,1.0,33.0,20.0,177.0,7.0,204.0,0.407806396484375,0.001999050963158701,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,478560,val,1,2.36,2,rule_based_agent,rule_based_agent_1,230,94,0,0,1.0,1.0,0.0,0.0,29.0,10.0,79.0,5.0,94.0,0.14938735961914062,0.0015892272299908577,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,478560,val,1,2.36,3,rule_based_agent,rule_based_agent_2,230,230,1,0,5.0,5.0,0.0,0.0,24.0,19.0,204.0,3.0,230.0,0.44153714179992676,0.0019197267034779424,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,231944,val,1,6.53,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,3.0,3.0,0.0,0.0,34.0,17.0,358.0,0.0,400.0,2.230248212814331,0.005575620532035828,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,231944,val,1,6.53,1,rule_based_agent,rule_based_agent_0,400,400,1,0,8.0,3.0,1.0,0.0,34.0,17.0,380.0,3.0,400.0,1.0914113521575928,0.002728528380393982,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,231944,val,1,6.53,2,rule_based_agent,rule_based_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,21.0,13.0,385.0,2.0,400.0,1.0463788509368896,0.002615947127342224,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,231944,val,1,6.53,3,rule_based_agent,rule_based_agent_2,400,143,0,0,0.0,0.0,0.0,0.0,28.0,14.0,126.0,3.0,143.0,0.25063085556030273,0.0017526633255965226,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,906466,val,1,6.29,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,2.0,2.0,0.0,0.0,39.0,18.0,355.0,0.0,400.0,2.0789053440093994,0.005197263360023499,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,906466,val,1,6.29,1,rule_based_agent,rule_based_agent_0,400,400,1,0,2.0,2.0,0.0,0.0,23.0,13.0,386.0,1.0,400.0,1.1074633598327637,0.002768658399581909,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,906466,val,1,6.29,2,rule_based_agent,rule_based_agent_1,400,59,0,1,1.0,1.0,0.0,1.0,22.0,7.0,51.0,1.0,59.0,0.10938858985900879,0.0018540438959154032,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,906466,val,1,6.29,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,41.0,16.0,377.0,7.0,400.0,1.1046128273010254,0.0027615320682525635,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,445753,val,1,3.96,0,tabular_sarsa_agent,tabular_sarsa_agent,400,138,0,1,3.0,3.0,0.0,1.0,32.0,16.0,94.0,1.0,138.0,0.383453369140625,0.002778647602468297,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,445753,val,1,3.96,1,rule_based_agent,rule_based_agent_0,400,400,1,0,3.0,3.0,0.0,0.0,37.0,35.0,351.0,14.0,400.0,0.9433698654174805,0.0023584246635437013,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,445753,val,1,3.96,2,rule_based_agent,rule_based_agent_1,400,400,1,0,2.0,2.0,0.0,0.0,37.0,32.0,360.0,8.0,400.0,0.9133810997009277,0.0022834527492523195,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,445753,val,1,3.96,3,rule_based_agent,rule_based_agent_2,400,52,0,1,1.0,1.0,0.0,1.0,17.0,6.0,45.0,1.0,52.0,0.09504127502441406,0.0018277168273925781,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,855458,val,1,4.18,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,1.0,1.0,0.0,0.0,45.0,37.0,273.0,5.0,400.0,1.1269817352294922,0.0028174543380737305,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,855458,val,1,4.18,1,rule_based_agent,rule_based_agent_0,400,400,1,0,4.0,4.0,0.0,0.0,28.0,32.0,350.0,9.0,400.0,0.8855335712432861,0.0022138339281082154,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,855458,val,1,4.18,2,rule_based_agent,rule_based_agent_1,400,175,0,1,2.0,2.0,0.0,1.0,27.0,14.0,157.0,4.0,175.0,0.3617122173309326,0.0020669269561767577,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,855458,val,1,4.18,3,rule_based_agent,rule_based_agent_2,400,75,0,1,2.0,2.0,0.0,1.0,24.0,8.0,64.0,3.0,75.0,0.12713289260864258,0.001695105234781901,2.5,0
sarsa_s4_proto_3rule,af6b511,classic,407560,val,1,4.39,0,tabular_sarsa_agent,tabular_sarsa_agent,400,133,0,1,3.0,3.0,0.0,1.0,37.0,16.0,87.0,0.0,133.0,0.3972818851470947,0.0029870818432112386,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,407560,val,1,4.39,1,rule_based_agent,rule_based_agent_0,400,400,1,0,4.0,4.0,0.0,0.0,34.0,17.0,379.0,3.0,400.0,1.0631084442138672,0.002657771110534668,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,407560,val,1,4.39,2,rule_based_agent,rule_based_agent_1,400,400,1,0,1.0,1.0,0.0,0.0,26.0,19.0,378.0,2.0,400.0,1.052398681640625,0.0026309967041015627,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,407560,val,1,4.39,3,rule_based_agent,rule_based_agent_2,400,80,0,1,1.0,1.0,0.0,1.0,21.0,7.0,67.0,6.0,80.0,0.1459674835205078,0.0018245935440063476,3.5,0
sarsa_s4_proto_3rule,af6b511,classic,182882,val,1,4.14,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,5.0,0.0,1.0,0.0,29.0,33.0,288.0,3.0,400.0,1.1533410549163818,0.0028833526372909544,1.0,1
sarsa_s4_proto_3rule,af6b511,classic,182882,val,1,4.14,1,rule_based_agent,rule_based_agent_0,400,108,0,0,3.0,3.0,0.0,0.0,27.0,12.0,92.0,4.0,108.0,0.21159696578979492,0.0019592311647203234,3.0,0
sarsa_s4_proto_3rule,af6b511,classic,182882,val,1,4.14,2,rule_based_agent,rule_based_agent_1,400,74,0,1,2.0,2.0,0.0,1.0,26.0,8.0,63.0,3.0,74.0,0.14353013038635254,0.0019395963565723316,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,182882,val,1,4.14,3,rule_based_agent,rule_based_agent_2,400,400,1,0,4.0,4.0,0.0,0.0,37.0,33.0,355.0,9.0,400.0,0.8614234924316406,0.0021535587310791016,2.0,0
sarsa_s4_proto_3rule,af6b511,classic,838439,val,1,6.28,0,tabular_sarsa_agent,tabular_sarsa_agent,400,400,1,0,3.0,3.0,0.0,0.0,27.0,10.0,363.0,0.0,400.0,2.1349213123321533,0.005337303280830383,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,838439,val,1,6.28,1,rule_based_agent,rule_based_agent_0,400,59,0,1,1.0,1.0,0.0,1.0,28.0,8.0,45.0,6.0,59.0,0.10219287872314453,0.0017320826902227887,4.0,0
sarsa_s4_proto_3rule,af6b511,classic,838439,val,1,6.28,2,rule_based_agent,rule_based_agent_1,400,400,1,0,3.0,3.0,0.0,0.0,35.0,32.0,359.0,9.0,400.0,1.057755470275879,0.0026443886756896975,1.5,0
sarsa_s4_proto_3rule,af6b511,classic,838439,val,1,6.28,3,rule_based_agent,rule_based_agent_2,400,400,1,0,2.0,2.0,0.0,0.0,35.0,29.0,364.0,7.0,400.0,1.0354206562042236,0.0025885516405105592,3.0,0
